prename,report_date,numtotal_all_administered,total_population
Canada,2021/2/25,1707398,38008005
Quebec,2021/2/25,387076,8575779
Ontario,2021/2/25,621960,14733119
British Columbia,2021/2/25,239883,5145851
Alberta,2021/2/25,195572,4428112
Saskatchewan,2021/2/25,65436,1177884
Nova Scotia,2021/2/25,30748,979115
Manitoba,2021/2/25,69060,1379584
New Brunswick,2021/2/25,26317,781315
Newfoundland and Labrador,2021/2/25,20285,520998
Prince Edward Island,2021/2/25,12176,159713
Northwest Territories,2021/2/25,16454,45074
Nunavut,2021/2/25,7257,39285
Yukon,2021/2/25,15174,42176
group1,2021/2/25,1204608,27737010
group2,2021/2/25,502790,10270995
